Data_Venda,Produto,Categoria,Quantidade_Vendida,Preço,Receita,Região
2023-07-25,Quebra-Cabeça,Brinquedos,23,367.18,8445.14,Oeste
2023-03-24,Arroz,Alimentos,31,168.14,5212.339999999999,Norte
2023-10-12,Quebra-Cabeça,Brinquedos,35,450.41,15764.35,Oeste
2023-08-07,Tablet,Eletrônicos,2,307.5,615.0,Sul
2023-12-09,Câmera,Eletrônicos,1,164.31,164.31,Leste
2023-02-23,Carne,Alimentos,24,208.32,4999.68,Leste
2023-07-12,Jaqueta,Roupas,20,295.53,5910.599999999999,Leste
2023-12-06,Camisa,Roupas,1,207.32,207.32,Leste
2023-06-12,Blocos de Montar,Brinquedos,33,319.87,10555.710000000001,Leste
2023-10-03,Quebra-Cabeça,Brinquedos,12,290.59,3487.08,Oeste
2023-06-22,Tablet,Eletrônicos,19,367.82,6988.58,Oeste
2023-04-21,Arroz,Alimentos,22,160.69,3535.18,Norte
2023-07-19,Carrinho,Brinquedos,43,106.16,4564.88,Sul
2023-03-18,Calça,Roupas,26,156.06,4057.56,Oeste
2023-09-25,Cadeira,Móveis,19,417.88,7939.72,Oeste
2023-04-08,Feijão,Alimentos,27,466.95,12607.65,Sul
2023-08-18,Carne,Alimentos,6,133.63,801.78,Oeste
2023-11-24,Laptop,Eletrônicos,1,488.75,488.75,Oeste
2023-09-24,Frutas,Alimentos,47,188.76,8871.72,Sul
2023-05-20,Blocos de Montar,Brinquedos,12,353.85,4246.200000000001,Norte
2023-03-29,Carne,Alimentos,37,20.26,749.62,Norte
2023-11-01,Smartphone,Eletrônicos,4,204.01,816.04,Norte
2023-10-06,Sapato,Roupas,41,132.93,5450.13,Oeste
2023-02-23,Jaqueta,Roupas,47,179.36,8429.92,Leste
2023-02-04,Quebra-Cabeça,Brinquedos,36,91.37,3289.32,Norte
2023-04-03,Cadeira,Móveis,16,65.93,1054.88,Leste
2023-04-16,Quebra-Cabeça,Brinquedos,25,213.26,5331.5,Sul
2023-08-05,Carne,Alimentos,38,233.14,8859.32,Norte
2023-06-18,Sapato,Roupas,17,477.74,8121.58,Sul
2023-11-02,Calça,Roupas,7,267.38,1871.6599999999999,Norte
2023-07-07,Frutas,Alimentos,1,89.64,89.64,Norte
2023-08-06,Jaqueta,Roupas,4,112.33,449.32,Norte
2023-07-08,Cadeira,Móveis,30,188.19,5645.7,Leste
2023-09-01,Frutas,Alimentos,24,403.48,9683.52,Norte
2023-05-26,Carne,Alimentos,32,454.93,14557.76,Leste
2023-09-08,Estante,Móveis,16,283.59,4537.44,Norte
2023-10-31,Carne,Alimentos,37,49.5,1831.5,Oeste
2023-06-07,Jaqueta,Roupas,41,415.93,17053.13,Leste
2023-01-18,Feijão,Alimentos,12,416.04,4992.4800000000005,Oeste
2023-12-12,Camisa,Roupas,7,342.46,2397.22,Leste
2023-06-01,Camisa,Roupas,6,305.63,1833.78,Sul
2023-01-30,Arroz,Alimentos,31,497.86,15433.66,Sul
2023-04-28,Laptop,Eletrônicos,10,406.74,4067.4,Norte
2023-01-29,Carne,Alimentos,21,16.32,342.72,Norte
2023-06-21,Tablet,Eletrônicos,15,309.08,4636.2,Sul
2023-07-05,Sapato,Roupas,43,235.07,10108.01,Leste
2023-03-09,Câmera,Eletrônicos,31,412.04,12773.24,Leste
2023-01-22,Feijão,Alimentos,49,256.74,12580.26,Oeste
2023-07-04,Jaqueta,Roupas,6,238.4,1430.4,Leste
2023-06-16,Quebra-Cabeça,Brinquedos,16,434.48,6951.68,Leste
2023-05-30,Estante,Móveis,49,290.09,14214.409999999998,Oeste
2023-11-26,Quebra-Cabeça,Brinquedos,42,148.85,6251.7,Norte
2023-05-03,Carne,Alimentos,15,316.41,4746.150000000001,Sul
2023-02-04,Carne,Alimentos,28,129.64,3629.9199999999996,Sul
2023-03-08,Sofá,Móveis,13,476.68,6196.84,Sul
2023-02-14,Jaqueta,Roupas,4,13.59,54.36,Leste
2023-11-29,Quebra-Cabeça,Brinquedos,9,283.36,2550.2400000000002,Oeste
2023-08-14,Carrinho,Brinquedos,15,391.13,5866.95,Leste
2023-01-01,Laptop,Eletrônicos,49,326.33,15990.17,Oeste
2023-11-02,Sapato,Roupas,46,232.6,10699.6,Oeste
2023-11-30,Cadeira,Móveis,26,380.81,9901.06,Norte
2023-01-25,Câmera,Eletrônicos,23,494.86,11381.78,Norte
2023-05-26,Calça,Roupas,43,281.82,12118.26,Norte
2023-06-04,Frutas,Alimentos,28,324.49,9085.720000000001,Leste
2023-03-09,Câmera,Eletrônicos,20,294.01,5880.2,Oeste
2023-01-06,Laptop,Eletrônicos,3,484.22,1452.66,Oeste
2023-12-04,Carrinho,Brinquedos,25,34.98,874.4999999999999,Norte
2023-11-15,Calça,Roupas,45,242.79,10925.55,Sul
2023-07-22,Sofá,Móveis,47,181.47,8529.09,Norte
2023-02-14,Carne,Alimentos,26,438.41,11398.66,Leste
2023-08-02,Estante,Móveis,1,210.74,210.74,Norte
2023-07-06,Feijão,Alimentos,28,215.81,6042.68,Oeste
2023-04-09,Tablet,Eletrônicos,49,479.03,23472.469999999998,Oeste
2023-11-29,Sapato,Roupas,40,278.81,11152.4,Leste
2023-06-22,Mesa,Móveis,16,320.07,5121.12,Sul
2023-08-20,Sofá,Móveis,22,441.0,9702.0,Leste
2023-04-25,Carrinho,Brinquedos,1,183.64,183.64,Norte
2023-05-26,Carne,Alimentos,32,185.33,5930.56,Leste
2023-10-28,Smartphone,Eletrônicos,39,281.2,10966.8,Norte
2023-06-19,Mesa,Móveis,47,22.35,1050.45,Oeste
2023-05-17,Jaqueta,Roupas,27,137.97,3725.19,Oeste
2023-10-23,Carrinho,Brinquedos,31,105.92,3283.52,Norte
2023-09-03,Carrinho,Brinquedos,23,165.48,3806.04,Norte
2023-01-25,Blocos de Montar,Brinquedos,28,261.72,7328.160000000001,Norte
2023-02-07,Calça,Roupas,6,454.93,2729.58,Norte
2023-12-21,Quebra-Cabeça,Brinquedos,2,471.32,942.64,Sul
2023-12-10,Câmera,Eletrônicos,18,360.06,6481.08,Leste
2023-05-06,Quebra-Cabeça,Brinquedos,1,106.18,106.18,Sul
2023-07-30,Feijão,Alimentos,16,302.5,4840.0,Norte
2023-12-02,Câmera,Eletrônicos,9,290.34,2613.06,Sul
2023-02-14,Estante,Móveis,18,160.14,2882.5199999999995,Leste
2023-02-08,Boneca,Brinquedos,32,417.45,13358.4,Sul
2023-09-01,Calça,Roupas,18,148.81,2678.58,Sul
2023-06-17,Carrinho,Brinquedos,15,199.85,2997.75,Leste
2023-09-29,Smartphone,Eletrônicos,26,467.05,12143.300000000001,Norte
2023-10-03,Arroz,Alimentos,5,234.67,1173.35,Oeste
2023-04-19,Sapato,Roupas,29,466.55,13529.95,Sul
2023-07-10,Camisa,Roupas,41,441.08,18084.28,Leste
2023-10-25,Laptop,Eletrônicos,11,118.12,1299.3200000000002,Norte
2023-03-15,Blocos de Montar,Brinquedos,13,340.7,4429.099999999999,Oeste
2023-11-08,Estante,Móveis,7,163.17,1142.1899999999998,Norte
2023-12-07,Sofá,Móveis,40,403.84,16153.599999999999,Leste
2023-03-30,Boneca,Brinquedos,5,385.27,1926.35,Sul
2023-06-02,Jaqueta,Roupas,17,99.4,1689.8000000000002,Oeste
2023-03-11,Boneca,Brinquedos,28,111.34,3117.52,Leste
2023-12-06,Feijão,Alimentos,18,111.22,2001.96,Leste
2023-11-14,Quebra-Cabeça,Brinquedos,19,266.47,5062.93,Sul
2023-02-04,Câmera,Eletrônicos,25,168.63,4215.75,Leste
2023-11-01,Tablet,Eletrônicos,36,194.57,7004.5199999999995,Sul
2023-07-29,Câmera,Eletrônicos,40,408.07,16322.8,Leste
2023-07-10,Estante,Móveis,19,438.99,8340.81,Oeste
2023-02-05,Carrinho,Brinquedos,27,394.69,10656.63,Leste
2023-10-12,Laptop,Eletrônicos,18,473.06,8515.08,Oeste
2023-01-26,Tablet,Eletrônicos,46,326.41,15014.86,Norte
2023-06-15,Feijão,Alimentos,28,403.17,11288.76,Sul
2023-02-23,Boneca,Brinquedos,26,51.29,1333.54,Leste
2023-08-02,Frutas,Alimentos,20,151.83,3036.6000000000004,Leste
2023-07-10,Carne,Alimentos,45,355.47,15996.150000000001,Norte
2023-04-14,Sofá,Móveis,3,92.74,278.21999999999997,Leste
2023-06-21,Arroz,Alimentos,16,426.06,6816.96,Leste
2023-06-27,Tablet,Eletrônicos,42,278.97,11716.740000000002,Leste
2023-02-17,Cadeira,Móveis,17,235.84,4009.28,Norte
2023-09-10,Frutas,Alimentos,35,421.04,14736.400000000001,Leste
2023-04-26,Quebra-Cabeça,Brinquedos,17,159.08,2704.36,Leste
2023-03-20,Calça,Roupas,14,169.79,2377.06,Sul
2023-03-20,Carne,Alimentos,36,124.21,4471.5599999999995,Sul
2023-12-18,Feijão,Alimentos,13,156.15,2029.95,Leste
2023-09-26,Blocos de Montar,Brinquedos,30,456.64,13699.199999999999,Oeste
2023-12-15,Laptop,Eletrônicos,15,185.02,2775.3,Sul
2023-07-11,Calça,Roupas,7,441.16,3088.1200000000003,Sul
2023-11-06,Carrinho,Brinquedos,14,491.54,6881.56,Sul
2023-04-04,Camisa,Roupas,14,435.9,6102.599999999999,Norte
2023-09-29,Blocos de Montar,Brinquedos,22,105.9,2329.8,Norte
2023-12-02,Calça,Roupas,49,77.31,3788.19,Oeste
2023-12-16,Sapato,Roupas,4,261.31,1045.24,Sul
2023-01-16,Tablet,Eletrônicos,5,137.21,686.0500000000001,Norte
2023-07-04,Arroz,Alimentos,40,244.57,9782.8,Norte
2023-08-02,Camisa,Roupas,36,261.36,9408.960000000001,Leste
2023-04-07,Sapato,Roupas,38,369.1,14025.800000000001,Norte
2023-05-12,Sapato,Roupas,33,355.73,11739.09,Norte
2023-02-01,Cadeira,Móveis,27,193.66,5228.82,Sul
2023-07-07,Câmera,Eletrônicos,41,377.2,15465.199999999999,Sul
2023-04-23,Sapato,Roupas,42,144.51,6069.42,Sul
2023-06-20,Blocos de Montar,Brinquedos,13,372.15,4837.95,Sul
2023-07-01,Boneca,Brinquedos,15,388.86,5832.900000000001,Norte
2023-11-19,Feijão,Alimentos,34,235.76,8015.84,Sul
2023-07-12,Calça,Roupas,40,146.93,5877.200000000001,Leste
2023-11-30,Mesa,Móveis,43,140.87,6057.41,Norte
2023-07-03,Tablet,Eletrônicos,12,477.48,5729.76,Leste
2023-11-24,Feijão,Alimentos,20,415.49,8309.8,Oeste
